,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
foul_prob[1118],0.416,0.033,0.351,0.483,0.0,0.0,9348.0,7719.0,1.0
foul_prob[1119],0.472,0.02,0.434,0.512,0.0,0.0,11354.0,8857.0,1.0
foul_prob[1120],0.42,0.021,0.38,0.461,0.0,0.0,10018.0,8606.0,1.0
foul_prob[1121],0.373,0.018,0.339,0.409,0.0,0.0,10917.0,8485.0,1.0
foul_prob[1122],0.39,0.015,0.36,0.419,0.0,0.0,10887.0,9161.0,1.0
foul_prob[1123],0.482,0.028,0.426,0.535,0.0,0.0,10835.0,7595.0,1.0
foul_prob[1124],0.48,0.021,0.439,0.521,0.0,0.0,10483.0,8455.0,1.0
foul_prob[1125],0.505,0.011,0.483,0.527,0.0,0.0,9676.0,8111.0,1.0
foul_prob[1126],0.532,0.036,0.46,0.601,0.0,0.0,12775.0,8489.0,1.0
foul_prob[1127],0.379,0.016,0.346,0.41,0.0,0.0,10546.0,8961.0,1.0
foul_prob[1128],0.416,0.017,0.383,0.449,0.0,0.0,10350.0,8530.0,1.0
foul_prob[1129],0.406,0.018,0.372,0.444,0.0,0.0,11891.0,8660.0,1.0
foul_prob[1130],0.429,0.017,0.397,0.462,0.0,0.0,10663.0,8625.0,1.0
foul_prob[1131],0.38,0.01,0.36,0.4,0.0,0.0,10580.0,8607.0,1.0
foul_prob[1132],0.45,0.022,0.408,0.492,0.0,0.0,10349.0,8115.0,1.0
foul_prob[1133],0.451,0.015,0.423,0.481,0.0,0.0,10752.0,8698.0,1.0
foul_prob[1134],0.412,0.009,0.394,0.43,0.0,0.0,11188.0,7877.0,1.0
foul_prob[1135],0.641,0.029,0.586,0.697,0.0,0.0,10824.0,8253.0,1.0
foul_prob[1136],0.495,0.015,0.466,0.525,0.0,0.0,10770.0,8097.0,1.0
foul_prob[1137],0.323,0.026,0.274,0.375,0.0,0.0,10608.0,7662.0,1.0
foul_prob[1138],0.393,0.01,0.374,0.412,0.0,0.0,10525.0,8665.0,1.0
foul_prob[1139],0.513,0.019,0.476,0.552,0.0,0.0,11395.0,7914.0,1.0
foul_prob[1140],0.427,0.023,0.383,0.471,0.0,0.0,10751.0,7732.0,1.0
foul_prob[1141],0.414,0.014,0.386,0.441,0.0,0.0,10854.0,8930.0,1.0
foul_prob[1142],0.391,0.019,0.354,0.429,0.0,0.0,10628.0,8308.0,1.0
foul_prob[1143],0.35,0.02,0.311,0.388,0.0,0.0,10497.0,7785.0,1.0
foul_prob[1144],0.516,0.015,0.486,0.545,0.0,0.0,9932.0,8279.0,1.0
foul_prob[1145],0.397,0.014,0.37,0.425,0.0,0.0,11113.0,9462.0,1.0
foul_prob[1146],0.472,0.017,0.438,0.506,0.0,0.0,10536.0,8956.0,1.0
foul_prob[1147],0.528,0.018,0.493,0.564,0.0,0.0,10641.0,8376.0,1.0
foul_prob[1148],0.508,0.021,0.466,0.549,0.0,0.0,10650.0,9308.0,1.0
foul_prob[1149],0.366,0.013,0.339,0.391,0.0,0.0,10881.0,9383.0,1.0
foul_prob[1150],0.59,0.023,0.548,0.635,0.0,0.0,10293.0,9180.0,1.0
foul_prob[1151],0.446,0.019,0.409,0.482,0.0,0.0,11015.0,7940.0,1.0
foul_prob[1152],0.379,0.024,0.332,0.424,0.0,0.0,10213.0,7196.0,1.0
foul_prob[1153],0.422,0.01,0.404,0.441,0.0,0.0,11202.0,9458.0,1.0
foul_prob[1154],0.437,0.016,0.405,0.468,0.0,0.0,11414.0,8819.0,1.0
foul_prob[1155],0.367,0.019,0.33,0.404,0.0,0.0,11282.0,8535.0,1.0
foul_prob[1156],0.387,0.017,0.352,0.42,0.0,0.0,11241.0,9373.0,1.0
foul_prob[1157],0.415,0.021,0.373,0.454,0.0,0.0,10710.0,8608.0,1.0
foul_prob[1158],0.353,0.016,0.322,0.384,0.0,0.0,10140.0,9388.0,1.0
foul_prob[1159],0.448,0.019,0.411,0.485,0.0,0.0,10450.0,8663.0,1.0
foul_prob[1160],0.417,0.014,0.391,0.445,0.0,0.0,12234.0,9470.0,1.0
foul_prob[1161],0.484,0.017,0.45,0.518,0.0,0.0,12244.0,8820.0,1.0
foul_prob[1162],0.394,0.021,0.351,0.435,0.0,0.0,10456.0,8006.0,1.0
foul_prob[1163],0.545,0.016,0.515,0.576,0.0,0.0,11585.0,8538.0,1.0
foul_prob[1164],0.405,0.016,0.373,0.436,0.0,0.0,11371.0,8046.0,1.0
foul_prob[1165],0.438,0.018,0.403,0.475,0.0,0.0,10366.0,9031.0,1.0
foul_prob[1166],0.4,0.02,0.36,0.439,0.0,0.0,11741.0,9139.0,1.0
foul_prob[1167],0.429,0.015,0.4,0.457,0.0,0.0,10747.0,8934.0,1.0
foul_prob[1168],0.487,0.016,0.454,0.519,0.0,0.0,10716.0,8256.0,1.0
foul_prob[1169],0.373,0.014,0.345,0.4,0.0,0.0,11461.0,9454.0,1.0
foul_prob[1170],0.487,0.017,0.454,0.52,0.0,0.0,9880.0,9165.0,1.0
foul_prob[1171],0.353,0.026,0.3,0.403,0.0,0.0,11060.0,7738.0,1.0
foul_prob[1172],0.428,0.017,0.394,0.46,0.0,0.0,11037.0,8681.0,1.0
foul_prob[1173],0.461,0.022,0.418,0.505,0.0,0.0,10273.0,8696.0,1.0
foul_prob[1174],0.45,0.01,0.431,0.469,0.0,0.0,11738.0,7772.0,1.0
foul_prob[1175],0.405,0.018,0.37,0.441,0.0,0.0,11516.0,9066.0,1.0
foul_prob[1176],0.345,0.033,0.281,0.411,0.0,0.0,11086.0,9121.0,1.0
foul_prob[1177],0.464,0.022,0.421,0.505,0.0,0.0,10792.0,8448.0,1.0
foul_prob[1178],0.571,0.017,0.537,0.603,0.0,0.0,9822.0,8976.0,1.0
foul_prob[1179],0.571,0.022,0.526,0.613,0.0,0.0,9857.0,9127.0,1.0
foul_prob[1180],0.355,0.014,0.328,0.383,0.0,0.0,10865.0,8910.0,1.0
foul_prob[1181],0.482,0.026,0.432,0.533,0.0,0.0,9942.0,9122.0,1.0
foul_prob[1182],0.316,0.031,0.254,0.375,0.0,0.0,10597.0,8057.0,1.0
foul_prob[1183],0.556,0.027,0.503,0.609,0.0,0.0,11349.0,7849.0,1.0
foul_prob[1184],0.455,0.016,0.424,0.487,0.0,0.0,10701.0,9120.0,1.0
foul_prob[1185],0.339,0.019,0.302,0.375,0.0,0.0,10609.0,8513.0,1.0
foul_prob[1186],0.46,0.02,0.419,0.498,0.0,0.0,11453.0,8295.0,1.0
foul_prob[1187],0.493,0.013,0.468,0.519,0.0,0.0,10735.0,8862.0,1.0
foul_prob[1188],0.363,0.016,0.332,0.395,0.0,0.0,11487.0,7952.0,1.0
foul_prob[1189],0.322,0.029,0.267,0.378,0.0,0.0,10014.0,8504.0,1.0
foul_prob[1190],0.353,0.027,0.3,0.405,0.0,0.0,9179.0,8787.0,1.0
foul_prob[1191],0.585,0.024,0.537,0.63,0.0,0.0,10198.0,9491.0,1.0
foul_prob[1192],0.528,0.015,0.498,0.557,0.0,0.0,11669.0,8169.0,1.0
foul_prob[1193],0.383,0.016,0.353,0.415,0.0,0.0,10754.0,9246.0,1.0
foul_prob[1194],0.366,0.013,0.341,0.391,0.0,0.0,11179.0,9493.0,1.0
foul_prob[1195],0.461,0.019,0.424,0.499,0.0,0.0,10630.0,9125.0,1.0
foul_prob[1196],0.4,0.015,0.372,0.432,0.0,0.0,11180.0,9494.0,1.0
foul_prob[1197],0.519,0.021,0.476,0.559,0.0,0.0,12287.0,8699.0,1.0
foul_prob[1198],0.382,0.043,0.296,0.465,0.0,0.0,11407.0,9635.0,1.0
foul_prob[1199],0.42,0.018,0.385,0.455,0.0,0.0,10390.0,8782.0,1.0
foul_prob[1200],0.413,0.019,0.378,0.45,0.0,0.0,10810.0,8564.0,1.0
foul_prob[1201],0.442,0.019,0.405,0.479,0.0,0.0,11582.0,8879.0,1.0
foul_prob[1202],0.435,0.011,0.412,0.457,0.0,0.0,10577.0,9030.0,1.0
foul_prob[1203],0.394,0.02,0.355,0.434,0.0,0.0,11319.0,8250.0,1.0
foul_prob[1204],0.462,0.012,0.439,0.487,0.0,0.0,11719.0,8751.0,1.0
foul_prob[1205],0.462,0.019,0.424,0.498,0.0,0.0,11635.0,9495.0,1.0
foul_prob[1206],0.436,0.019,0.399,0.473,0.0,0.0,10933.0,9042.0,1.0
foul_prob[1207],0.443,0.011,0.422,0.465,0.0,0.0,10959.0,8329.0,1.0
foul_prob[1208],0.348,0.022,0.306,0.391,0.0,0.0,10593.0,7942.0,1.0
foul_prob[1209],0.419,0.012,0.395,0.443,0.0,0.0,11283.0,8921.0,1.0
foul_prob[1210],0.346,0.022,0.301,0.386,0.0,0.0,10941.0,7325.0,1.0
foul_prob[1211],0.412,0.012,0.388,0.434,0.0,0.0,11392.0,8496.0,1.0
foul_prob[1212],0.443,0.02,0.403,0.48,0.0,0.0,10557.0,8324.0,1.0
foul_prob[1213],0.44,0.022,0.397,0.483,0.0,0.0,11347.0,8418.0,1.0
foul_prob[1214],0.331,0.025,0.283,0.381,0.0,0.0,12063.0,8922.0,1.0
foul_prob[1215],0.385,0.014,0.358,0.412,0.0,0.0,11077.0,8303.0,1.0
foul_prob[1216],0.393,0.013,0.368,0.419,0.0,0.0,10145.0,9391.0,1.0
foul_prob[1217],0.574,0.026,0.524,0.625,0.0,0.0,11177.0,8579.0,1.0
foul_prob[1218],0.475,0.019,0.436,0.511,0.0,0.0,10440.0,9253.0,1.0
foul_prob[1219],0.4,0.024,0.351,0.446,0.0,0.0,12915.0,8868.0,1.0
foul_prob[1220],0.408,0.014,0.381,0.435,0.0,0.0,11116.0,8672.0,1.0
foul_prob[1221],0.361,0.016,0.33,0.392,0.0,0.0,11496.0,8066.0,1.0
foul_prob[1222],0.602,0.023,0.556,0.646,0.0,0.0,9935.0,8629.0,1.0
foul_prob[1223],0.444,0.018,0.408,0.476,0.0,0.0,11445.0,9683.0,1.0
foul_prob[1224],0.455,0.029,0.397,0.509,0.0,0.0,11079.0,8738.0,1.0
foul_prob[1225],0.435,0.015,0.406,0.464,0.0,0.0,11780.0,8870.0,1.0
foul_prob[1226],0.491,0.02,0.452,0.528,0.0,0.0,10316.0,8355.0,1.0
foul_prob[1227],0.429,0.021,0.388,0.469,0.0,0.0,10855.0,8142.0,1.0
foul_prob[1228],0.479,0.018,0.446,0.515,0.0,0.0,10060.0,8782.0,1.0
foul_prob[1229],0.439,0.013,0.413,0.464,0.0,0.0,10483.0,8702.0,1.0
foul_prob[1230],0.394,0.016,0.362,0.425,0.0,0.0,10553.0,9420.0,1.0
foul_prob[1231],0.367,0.025,0.32,0.416,0.0,0.0,11162.0,8648.0,1.0
foul_prob[1232],0.393,0.015,0.363,0.423,0.0,0.0,10588.0,8042.0,1.0
foul_prob[1233],0.418,0.014,0.39,0.444,0.0,0.0,10695.0,8245.0,1.0
foul_prob[1234],0.588,0.023,0.545,0.634,0.0,0.0,10868.0,7946.0,1.0
foul_prob[1235],0.382,0.01,0.362,0.401,0.0,0.0,10586.0,8417.0,1.0
foul_prob[1236],0.43,0.027,0.377,0.482,0.0,0.0,11555.0,8518.0,1.0
foul_prob[1237],0.36,0.015,0.332,0.39,0.0,0.0,10918.0,8876.0,1.0
foul_prob[1238],0.398,0.017,0.365,0.43,0.0,0.0,10752.0,9444.0,1.0
foul_prob[1239],0.555,0.022,0.511,0.597,0.0,0.0,11076.0,8502.0,1.0
foul_prob[1240],0.51,0.02,0.472,0.55,0.0,0.0,12451.0,8708.0,1.0
foul_prob[1241],0.447,0.016,0.417,0.478,0.0,0.0,10680.0,8425.0,1.0
foul_prob[1242],0.447,0.025,0.398,0.496,0.0,0.0,10946.0,9623.0,1.0
foul_prob[1243],0.453,0.02,0.415,0.492,0.0,0.0,10606.0,8997.0,1.0
foul_prob[1244],0.568,0.016,0.536,0.6,0.0,0.0,9809.0,9081.0,1.0
foul_prob[1245],0.442,0.015,0.414,0.47,0.0,0.0,11018.0,9167.0,1.0
foul_prob[1246],0.403,0.026,0.35,0.453,0.0,0.0,10480.0,8909.0,1.0
foul_prob[1247],0.51,0.014,0.482,0.537,0.0,0.0,10359.0,8509.0,1.0
foul_prob[1248],0.38,0.031,0.316,0.439,0.0,0.0,10892.0,7963.0,1.0
foul_prob[1249],0.471,0.017,0.439,0.506,0.0,0.0,10901.0,8473.0,1.0
