,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
foul_prob[2589],0.496,0.017,0.462,0.529,0.0,0.0,8156.0,5525.0,1.0
foul_prob[2590],0.362,0.011,0.34,0.384,0.0,0.0,6696.0,5038.0,1.0
foul_prob[2591],0.443,0.014,0.416,0.471,0.0,0.0,8418.0,5128.0,1.0
foul_prob[2592],0.364,0.015,0.333,0.394,0.0,0.0,7688.0,5315.0,1.0
foul_prob[2593],0.527,0.017,0.494,0.56,0.0,0.0,7978.0,5478.0,1.0
foul_prob[2594],0.341,0.013,0.315,0.367,0.0,0.0,6698.0,5276.0,1.0
foul_prob[2595],0.531,0.013,0.507,0.557,0.0,0.0,7746.0,5322.0,1.0
foul_prob[2596],0.346,0.016,0.314,0.375,0.0,0.0,6708.0,5187.0,1.0
foul_prob[2597],0.397,0.018,0.36,0.433,0.0,0.0,8345.0,5419.0,1.0
foul_prob[2598],0.417,0.019,0.379,0.455,0.0,0.0,8543.0,5115.0,1.0
foul_prob[2599],0.513,0.014,0.487,0.54,0.0,0.0,7968.0,5181.0,1.0
foul_prob[2600],0.391,0.012,0.368,0.416,0.0,0.0,7548.0,5864.0,1.0
foul_prob[2601],0.392,0.016,0.358,0.423,0.0,0.0,8370.0,5330.0,1.0
foul_prob[2602],0.47,0.017,0.437,0.503,0.0,0.0,8235.0,5027.0,1.0
foul_prob[2603],0.416,0.017,0.383,0.448,0.0,0.0,7404.0,5247.0,1.0
foul_prob[2604],0.354,0.013,0.33,0.379,0.0,0.0,7432.0,5458.0,1.0
foul_prob[2605],0.447,0.022,0.407,0.49,0.0,0.0,8542.0,5115.0,1.0
foul_prob[2606],0.44,0.016,0.409,0.47,0.0,0.0,7896.0,5403.0,1.0
foul_prob[2607],0.326,0.016,0.293,0.355,0.0,0.0,7764.0,5352.0,1.0
foul_prob[2608],0.438,0.013,0.412,0.463,0.0,0.0,9093.0,5553.0,1.0
foul_prob[2609],0.442,0.019,0.402,0.478,0.0,0.0,7947.0,5084.0,1.0
foul_prob[2610],0.452,0.016,0.422,0.484,0.0,0.0,8905.0,4557.0,1.0
foul_prob[2611],0.381,0.016,0.352,0.412,0.0,0.0,8022.0,5102.0,1.0
foul_prob[2612],0.426,0.018,0.389,0.461,0.0,0.0,8781.0,5374.0,1.0
foul_prob[2613],0.478,0.017,0.443,0.51,0.0,0.0,7230.0,5012.0,1.0
foul_prob[2614],0.342,0.016,0.31,0.371,0.0,0.0,7752.0,5584.0,1.0
foul_prob[2615],0.471,0.01,0.45,0.491,0.0,0.0,8954.0,5317.0,1.0
foul_prob[2616],0.474,0.018,0.438,0.509,0.0,0.0,7514.0,5249.0,1.0
foul_prob[2617],0.453,0.017,0.417,0.485,0.0,0.0,7911.0,5056.0,1.0
foul_prob[2618],0.419,0.015,0.391,0.449,0.0,0.0,8066.0,4794.0,1.0
foul_prob[2619],0.471,0.018,0.437,0.506,0.0,0.0,7215.0,5582.0,1.0
foul_prob[2620],0.412,0.014,0.386,0.441,0.0,0.0,8390.0,5372.0,1.0
foul_prob[2621],0.418,0.013,0.393,0.442,0.0,0.0,7893.0,5044.0,1.0
foul_prob[2622],0.444,0.015,0.415,0.472,0.0,0.0,8281.0,4581.0,1.0
foul_prob[2623],0.499,0.017,0.466,0.533,0.0,0.0,7066.0,5353.0,1.0
foul_prob[2624],0.547,0.021,0.506,0.587,0.0,0.0,8075.0,5476.0,1.0
foul_prob[2625],0.489,0.014,0.461,0.518,0.0,0.0,9429.0,5438.0,1.0
foul_prob[2626],0.352,0.017,0.319,0.384,0.0,0.0,7577.0,5123.0,1.0
foul_prob[2627],0.405,0.018,0.37,0.439,0.0,0.0,7226.0,5509.0,1.0
foul_prob[2628],0.44,0.014,0.413,0.468,0.0,0.0,8579.0,5519.0,1.0
foul_prob[2629],0.395,0.014,0.367,0.423,0.0,0.0,7655.0,5386.0,1.0
foul_prob[2630],0.381,0.013,0.356,0.407,0.0,0.0,6768.0,5230.0,1.0
foul_prob[2631],0.393,0.018,0.359,0.43,0.0,0.0,7991.0,5006.0,1.0
foul_prob[2632],0.489,0.019,0.453,0.527,0.0,0.0,8280.0,5057.0,1.0
foul_prob[2633],0.423,0.013,0.396,0.448,0.0,0.0,7568.0,5541.0,1.0
foul_prob[2634],0.439,0.015,0.408,0.468,0.0,0.0,8991.0,5467.0,1.0
foul_prob[2635],0.359,0.016,0.328,0.39,0.0,0.0,8037.0,4970.0,1.0
foul_prob[2636],0.526,0.016,0.495,0.558,0.0,0.0,8407.0,5060.0,1.0
foul_prob[2637],0.438,0.011,0.418,0.459,0.0,0.0,8331.0,5228.0,1.0
foul_prob[2638],0.417,0.017,0.384,0.45,0.0,0.0,8674.0,5179.0,1.0
foul_prob[2639],0.459,0.017,0.426,0.492,0.0,0.0,8308.0,5375.0,1.0
foul_prob[2640],0.496,0.015,0.467,0.524,0.0,0.0,7999.0,5202.0,1.0
foul_prob[2641],0.336,0.021,0.298,0.377,0.0,0.0,7840.0,5620.0,1.0
foul_prob[2642],0.574,0.019,0.539,0.61,0.0,0.0,8187.0,4699.0,1.0
foul_prob[2643],0.424,0.016,0.392,0.455,0.0,0.0,8206.0,5097.0,1.0
foul_prob[2644],0.602,0.027,0.55,0.654,0.0,0.0,8095.0,5085.0,1.0
foul_prob[2645],0.529,0.014,0.503,0.556,0.0,0.0,8016.0,5473.0,1.0
foul_prob[2646],0.489,0.008,0.472,0.504,0.0,0.0,8053.0,4815.0,1.0
foul_prob[2647],0.362,0.019,0.325,0.4,0.0,0.0,7590.0,5626.0,1.0
foul_prob[2648],0.321,0.015,0.292,0.35,0.0,0.0,7218.0,5382.0,1.0
foul_prob[2649],0.396,0.019,0.36,0.433,0.0,0.0,9050.0,5274.0,1.0
foul_prob[2650],0.435,0.017,0.401,0.469,0.0,0.0,8117.0,5031.0,1.0
foul_prob[2651],0.408,0.025,0.357,0.456,0.0,0.0,9833.0,4982.0,1.0
foul_prob[2652],0.419,0.011,0.398,0.44,0.0,0.0,9034.0,5548.0,1.0
foul_prob[2653],0.435,0.014,0.407,0.463,0.0,0.0,7749.0,5814.0,1.0
foul_prob[2654],0.493,0.014,0.466,0.519,0.0,0.0,8126.0,5186.0,1.0
foul_prob[2655],0.497,0.016,0.467,0.529,0.0,0.0,8618.0,5704.0,1.0
foul_prob[2656],0.367,0.016,0.336,0.399,0.0,0.0,7422.0,5697.0,1.0
foul_prob[2657],0.381,0.012,0.357,0.404,0.0,0.0,7177.0,4650.0,1.0
foul_prob[2658],0.423,0.018,0.387,0.458,0.0,0.0,7919.0,4775.0,1.0
foul_prob[2659],0.415,0.017,0.38,0.448,0.0,0.0,8036.0,5131.0,1.0
